Time	Node	Event	SeqNo
0	2	Incoming interest	0
3.4e-05	2	Broadcasting	
7.8109e-05	1	Incoming interest	0
7.8121e-05	0	Incoming interest	0
0.00070488	0	Broadcasting	
0.000749001	2	Incoming interest	0
0.052224	0	Broadcasting	
0.0522681	1	Incoming interest	0
0.0522682	2	Incoming interest	0
0.104068	0	Broadcasting	
0.104112	1	Incoming interest	0
0.104112	2	Incoming interest	0
0.155052	0	Broadcasting	
0.155096	1	Incoming interest	0
0.155096	2	Incoming interest	0
0.20667	0	Broadcasting	
0.206714	1	Incoming interest	0
0.206714	2	Incoming interest	0
0.258031	0	Broadcasting	
0.258075	1	Incoming interest	0
0.258075	2	Incoming interest	0
0.309998	0	Broadcasting	
0.310042	1	Incoming interest	0
0.310042	2	Incoming interest	0
0.361968	0	Broadcasting	
0.362012	1	Incoming interest	0
0.362012	2	Incoming interest	0
1	2	Incoming interest	1
1	2	Broadcasting	
1.00004	1	Incoming interest	1
1.00004	0	Incoming interest	1
1.00103	0	Broadcasting	
1.00107	2	Incoming interest	1
1.00116	1	Broadcasting	
1.0012	2	Incoming interest	1
1.05166	0	Broadcasting	
1.0517	1	Incoming interest	1
1.0517	2	Incoming interest	1
1.103	0	Broadcasting	
1.10304	1	Incoming interest	1
1.10304	2	Incoming interest	1
1.15302	0	Broadcasting	
1.15307	1	Incoming interest	1
1.15307	2	Incoming interest	1
1.20432	0	Broadcasting	
1.20436	1	Incoming interest	1
1.20436	2	Incoming interest	1
1.25594	0	Broadcasting	
1.25598	1	Incoming interest	1
1.25598	2	Incoming interest	1
1.30699	0	Broadcasting	
1.30704	1	Incoming interest	1
1.30704	2	Incoming interest	1
1.35822	0	Broadcasting	
1.35827	1	Incoming interest	1
1.35827	2	Incoming interest	1
2	2	Incoming interest	0
2	2	Broadcasting	
2.00004	1	Incoming interest	0
2.00004	0	Incoming interest	0
2.0007	1	Broadcasting	
2.00075	2	Incoming interest	0
2.00138	0	Broadcasting	
2.00142	2	Incoming interest	0
2.05189	0	Broadcasting	
2.05193	1	Incoming interest	0
2.05193	2	Incoming interest	0
2.103	0	Broadcasting	
2.10304	1	Incoming interest	0
2.10304	2	Incoming interest	0
2.15359	0	Broadcasting	
2.15363	1	Incoming interest	0
2.15363	2	Incoming interest	0
2.20468	0	Broadcasting	
2.20472	1	Incoming interest	0
2.20472	2	Incoming interest	0
2.25619	0	Broadcasting	
2.25623	1	Incoming interest	0
2.25623	2	Incoming interest	0
2.30716	0	Broadcasting	
2.30721	1	Incoming interest	0
2.30721	2	Incoming interest	0
2.35821	0	Broadcasting	
2.35826	1	Incoming interest	0
2.35826	2	Incoming interest	0
3	2	Incoming interest	2
3	2	Broadcasting	
3.00004	1	Incoming interest	2
3.00004	0	Incoming interest	2
3.00132	1	Broadcasting	
3.00137	2	Incoming interest	2
3.00195	0	Broadcasting	
3.00199	2	Incoming interest	2
3.05201	0	Broadcasting	
3.05205	1	Incoming interest	2
3.05205	2	Incoming interest	2
3.10365	0	Broadcasting	
3.10369	1	Incoming interest	2
3.10369	2	Incoming interest	2
3.15469	0	Broadcasting	
3.15474	1	Incoming interest	2
3.15474	2	Incoming interest	2
3.20526	0	Broadcasting	
3.20531	1	Incoming interest	2
3.20531	2	Incoming interest	2
3.25583	0	Broadcasting	
3.25587	1	Incoming interest	2
3.25587	2	Incoming interest	2
3.30649	0	Broadcasting	
3.30653	1	Incoming interest	2
3.30653	2	Incoming interest	2
3.35845	0	Broadcasting	
3.3585	1	Incoming interest	2
3.3585	2	Incoming interest	2
4	2	Incoming interest	1
4	2	Broadcasting	
4.00004	1	Incoming interest	1
4.00004	0	Incoming interest	1
4.00116	0	Broadcasting	
4.0012	2	Incoming interest	1
4.05165	0	Broadcasting	
4.0517	1	Incoming interest	1
4.0517	2	Incoming interest	1
4.10209	0	Broadcasting	
4.10213	1	Incoming interest	1
4.10213	2	Incoming interest	1
4.15316	0	Broadcasting	
4.1532	1	Incoming interest	1
4.1532	2	Incoming interest	1
4.20393	0	Broadcasting	
4.20397	2	Incoming interest	1
4.25554	0	Broadcasting	
